2025-10-08 19:19:16 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T19:19:16.089802"}, "timestamp": "2025-10-08T19:19:16.089831"}
2025-10-08 19:19:25 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 4, "duration_seconds": 9.406084, "end_time": "2025-10-08T19:19:25.495886"}, "timestamp": "2025-10-08T19:19:25.495931"}
2025-10-08 19:20:03 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T19:20:03.972893"}, "timestamp": "2025-10-08T19:20:03.972924"}
2025-10-08 19:20:13 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 6, "duration_seconds": 9.943707, "end_time": "2025-10-08T19:20:13.916600"}, "timestamp": "2025-10-08T19:20:13.916640"}
2025-10-08 19:20:16 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T19:20:16.785081"}, "timestamp": "2025-10-08T19:20:16.785112"}
2025-10-08 19:20:35 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 6, "duration_seconds": 18.415307, "end_time": "2025-10-08T19:20:35.200388"}, "timestamp": "2025-10-08T19:20:35.200458"}
2025-10-08 19:48:40 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T19:48:40.109153"}, "timestamp": "2025-10-08T19:48:40.109185"}
2025-10-08 19:48:50 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 4, "duration_seconds": 10.791797, "end_time": "2025-10-08T19:48:50.900950"}, "timestamp": "2025-10-08T19:48:50.900990"}
2025-10-08 19:48:54 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T19:48:54.144846"}, "timestamp": "2025-10-08T19:48:54.144881"}
2025-10-08 19:48:59 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 6, "duration_seconds": 5.446375, "end_time": "2025-10-08T19:48:59.591221"}, "timestamp": "2025-10-08T19:48:59.591256"}
2025-10-08 20:02:00 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T20:02:00.485084"}, "timestamp": "2025-10-08T20:02:00.485114"}
2025-10-08 20:02:36 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 7, "duration_seconds": 36.185968, "end_time": "2025-10-08T20:02:36.671052"}, "timestamp": "2025-10-08T20:02:36.671104"}
2025-10-08 20:03:08 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T20:03:08.962843"}, "timestamp": "2025-10-08T20:03:08.962881"}
2025-10-08 20:03:16 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 5, "duration_seconds": 7.513558, "end_time": "2025-10-08T20:03:16.476401"}, "timestamp": "2025-10-08T20:03:16.476436"}
2025-10-08 20:15:08 | guardian.network | INFO | {"event_type": "scan_start", "details": {"network_range": "192.168.0.0/24", "start_time": "2025-10-08T20:15:08.141929"}, "timestamp": "2025-10-08T20:15:08.141960"}
2025-10-08 20:15:15 | guardian.network | INFO | {"event_type": "scan_complete", "details": {"network_range": "192.168.0.0/24", "devices_found": 6, "duration_seconds": 7.217918, "end_time": "2025-10-08T20:15:15.359847"}, "timestamp": "2025-10-08T20:15:15.359879"}
