2025-10-08 19:16:08 | guardian.security | ERROR | {"event_type": "login_failed", "description": "Failed login attempt for user: admin", "ip": null, "mac": null, "severity": "high", "timestamp": "2025-10-08T19:16:08.418646"}
2025-10-08 19:16:59 | guardian.security | ERROR | {"event_type": "login_failed", "description": "Failed login attempt for user: admin", "ip": null, "mac": null, "severity": "high", "timestamp": "2025-10-08T19:16:59.615575"}
2025-10-08 19:17:16 | guardian.security | WARNING | {"event_type": "login_success", "description": "User admin logged in successfully", "ip": null, "mac": null, "severity": "warning", "timestamp": "2025-10-08T19:17:16.688671"}
2025-10-08 19:19:25 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.1, MAC: Desconocida", "ip": "192.168.0.1", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:19:25.999397"}
2025-10-08 19:19:26 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.10, MAC: Desconocida", "ip": "192.168.0.10", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:19:26.433065"}
2025-10-08 19:19:26 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.12, MAC: Desconocida", "ip": "192.168.0.12", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:19:26.876303"}
2025-10-08 19:19:27 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "Dispositivo NO autorizado detectado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:19:27.375214"}
2025-10-08 19:20:14 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.1, MAC: Desconocida", "ip": "192.168.0.1", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:20:14.444190"}
2025-10-08 19:20:14 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.10, MAC: Desconocida", "ip": "192.168.0.10", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:20:14.895538"}
2025-10-08 19:20:15 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.12, MAC: Desconocida", "ip": "192.168.0.12", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:20:15.385601"}
2025-10-08 19:20:15 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.13, MAC: Desconocida", "ip": "192.168.0.13", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:20:15.794482"}
2025-10-08 19:20:16 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.2, MAC: Desconocida", "ip": "192.168.0.2", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:20:16.205396"}
2025-10-08 19:20:16 | guardian.security | ERROR | {"event_type": "intrusion_detected", "description": "[ESCANEO AUTOMÁTICO] Dispositivo NO autorizado - IP: 192.168.0.6, MAC: Desconocida", "ip": "192.168.0.6", "mac": "Desconocida", "severity": "high", "timestamp": "2025-10-08T19:20:16.582500"}
