2025-10-08 19:19:23 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:19:23.410173"}
2025-10-08 19:19:23 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:19:23.422908"}
2025-10-08 19:19:23 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:19:23.485653"}
2025-10-08 19:19:25 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T19:19:25.493664"}
2025-10-08 19:20:11 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:11.190857"}
2025-10-08 19:20:11 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:11.214351"}
2025-10-08 19:20:11 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:11.522352"}
2025-10-08 19:20:11 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.13, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:11.864462"}
2025-10-08 19:20:13 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T19:20:13.876951"}
2025-10-08 19:20:13 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.6, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:13.915119"}
2025-10-08 19:20:32 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:32.474774"}
2025-10-08 19:20:32 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:32.502721"}
2025-10-08 19:20:32 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:32.822270"}
2025-10-08 19:20:33 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.13, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:33.028110"}
2025-10-08 19:20:35 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T19:20:35.039020"}
2025-10-08 19:20:35 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.6, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:20:35.196193"}
2025-10-08 19:48:48 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:48.587237"}
2025-10-08 19:48:48 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:48.605331"}
2025-10-08 19:48:48 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:48.895136"}
2025-10-08 19:48:50 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.2, Error: Command '['ping', '-c', '1', '192.168.0.2']' timed out after 2 seconds", "traceback": null, "timestamp": "2025-10-08T19:48:50.900231"}
2025-10-08 19:48:57 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.1, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:57.242198"}
2025-10-08 19:48:57 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.10, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:57.250559"}
2025-10-08 19:48:57 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.12, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:57.310477"}
2025-10-08 19:48:57 | guardian.system | ERROR | {"error_type": "mac_resolution_error", "error_message": "IP: 192.168.0.13, Error: [Errno 2] No such file or directory: 'arp'", "traceback": null, "timestamp": "2025-10-08T19:48:57.375125"}
